,dataset,mean,std
0,AUSLAN,0.9669473684210527,0.0056529354029884495
1,ArabicDigits,0.9914646464646465,0.0013849807273537016
2,CMUsubject16,0.9103448275862069,0.08474624639616903
3,CharacterTrajectories,0.9861610633307271,0.0023338251065831497
4,ECG,0.8889999999999999,0.026248809496813397
5,JapaneseVowels,0.9651351351351349,0.010568224214063348
6,KickvsPunch,0.6899999999999998,0.14456832294800964
7,Libras,0.8227777777777778,0.04762572704477286
8,NetFlow,0.9559925093632959,0.006607595042838014
9,UWave,0.923422159887798,0.0059007978152412965
10,Wafer,0.9924107142857143,0.0033778450782190627
11,WalkvsRun,1.0,0.0
