,dataset,mean,std
0,AUSLAN,0.9499415204678362,0.009089758703029487
1,ArabicDigits,0.9884090909090909,0.0027177865325229973
2,CMUsubject16,0.9885057471264369,0.016255328303139003
3,CharacterTrajectories,0.987403353314221,0.0016252529696698325
4,ECG,0.8955555555555557,0.01770819716723249
5,JapaneseVowels,0.9652027027027027,0.009307417104024236
6,KickvsPunch,0.6777777777777778,0.07856742013183864
7,Libras,0.8555555555555556,0.023859442086527998
8,NetFlow,0.7802746566791511,0.0015290198144714009
9,UWave,0.8549166277076516,0.009070006799768437
10,Wafer,0.9923115079365079,0.0037735922754719322
11,WalkvsRun,1.0,0.0
