,dataset,mean,std
0,AUSLAN,0.9306666666666666,0.003197413543830037
1,ArabicDigits,0.9735909090909092,0.0011217238799320656
2,CMUsubject16,0.9310344827586208,0.0
3,CharacterTrajectories,0.9724003127443315,0.00108055316349375
4,ECG,0.851,0.015779733838059515
5,JapaneseVowels,0.9891891891891891,0.004681218398834852
6,KickvsPunch,0.89,0.029999999999999992
7,Libras,0.8616666666666667,0.010957268290731119
8,NetFlow,0.7701310861423221,0.07570240643056962
9,UWave,0.913557737260402,0.004441081659481257
10,Wafer,0.984375,0.003735089404169973
11,WalkvsRun,1.0,0.0
