,dataset,mean,std
0,AUSLAN,0.030315789473684206,0.006795069999668886
1,ArabicDigits,0.9788181818181819,0.0042939511558616975
2,CMUsubject16,0.9620689655172413,0.024137931034482817
3,CharacterTrajectories,0.47075840500390925,0.0705153948706842
4,ECG,0.8719999999999999,0.016613247725836163
5,JapaneseVowels,0.9256756756756757,0.0371412717695996
6,KickvsPunch,0.6499999999999999,0.09219544457292889
7,Libras,0.36833333333333335,0.034431000960769266
8,NetFlow,0.944943820224719,0.009629183619612304
9,UWave,0.7360215053763441,0.0471503556347517
10,Wafer,0.8939732142857142,1.1102230246251565e-16
11,WalkvsRun,1.0,0.0
