,dataset,mean,std
0,AUSLAN,0.9606315789473685,0.003625429151744428
1,ArabicDigits,0.9834545454545456,0.0018982375470746418
2,CMUsubject16,0.9965517241379309,0.010344827586206884
3,CharacterTrajectories,0.9760750586395621,0.0021611063269875402
4,ECG,0.8950000000000001,0.008062257748298557
5,JapaneseVowels,0.9691891891891892,0.005432365200605883
6,KickvsPunch,0.79,0.053851648071345064
7,Libras,0.8272222222222222,0.014792807728549271
8,NetFlow,0.955430711610487,0.003631220866978562
9,UWave,0.8730715287517532,0.006885238546218003
10,Wafer,0.9896205357142858,0.0010044642857143088
11,WalkvsRun,1.0,0.0
