,dataset,mean,std
0,AUSLAN,0.7717192982456141,0.06758084200583249
1,ArabicDigits,0.9266363636363636,0.03810934680691322
2,CMUsubject16,0.8241379310344827,0.08368731792766618
3,CharacterTrajectories,0.8791634089132134,0.06783976453594615
4,ECG,0.8379999999999999,0.02785677655436824
5,JapaneseVowels,0.5508108108108108,0.09016501388969962
6,KickvsPunch,0.72,0.0871779788708135
7,Libras,0.25222222222222224,0.09379515373513458
8,NetFlow,0.9159176029962547,0.01616246993806984
9,UWave,0.6100981767180925,0.15691318571469504
10,Wafer,0.9363839285714286,0.03135743649187282
11,WalkvsRun,0.96875,0.05762215285808055
